candidate_id,feature_set,feature_variant,model_family,model_name,params_json
expanded154__base__lightgbm_balanced_depth1,expanded154,base,lightgbm_balanced,lightgbm_balanced_depth1,"{""max_depth"": 1, ""num_leaves"": 2}"
expanded154__base__lightgbm_balanced_depth2,expanded154,base,lightgbm_balanced,lightgbm_balanced_depth2,"{""max_depth"": 2, ""num_leaves"": 4}"
expanded154__base__lightgbm_balanced_depth3,expanded154,base,lightgbm_balanced,lightgbm_balanced_depth3,"{""max_depth"": 3, ""num_leaves"": 8}"
expanded154__high_missing_removed__logistic_balanced_C0.3,expanded154,high_missing_removed,logistic_balanced,logistic_balanced_C0.3,"{""C"": 0.3}"
expanded154__high_missing_removed__logistic_balanced_C1.0,expanded154,high_missing_removed,logistic_balanced,logistic_balanced_C1.0,"{""C"": 1.0}"
expanded154__high_missing_removed__logistic_balanced_C3.0,expanded154,high_missing_removed,logistic_balanced,logistic_balanced_C3.0,"{""C"": 3.0}"
expanded154__high_missing_removed__random_forest_balanced_depth2,expanded154,high_missing_removed,random_forest_balanced,random_forest_balanced_depth2,"{""max_depth"": 2}"
expanded154__high_missing_removed__random_forest_balanced_depth3,expanded154,high_missing_removed,random_forest_balanced,random_forest_balanced_depth3,"{""max_depth"": 3}"
expanded154__high_missing_removed__random_forest_balanced_depth4,expanded154,high_missing_removed,random_forest_balanced,random_forest_balanced_depth4,"{""max_depth"": 4}"
expanded154__high_missing_removed__extra_trees_balanced_depth2,expanded154,high_missing_removed,extra_trees_balanced,extra_trees_balanced_depth2,"{""max_depth"": 2}"
expanded154__high_missing_removed__extra_trees_balanced_depth3,expanded154,high_missing_removed,extra_trees_balanced,extra_trees_balanced_depth3,"{""max_depth"": 3}"
expanded154__high_missing_removed__extra_trees_balanced_depth4,expanded154,high_missing_removed,extra_trees_balanced,extra_trees_balanced_depth4,"{""max_depth"": 4}"
expanded154__high_missing_removed__lightgbm_balanced_depth1,expanded154,high_missing_removed,lightgbm_balanced,lightgbm_balanced_depth1,"{""max_depth"": 1, ""num_leaves"": 2}"
expanded154__high_missing_removed__lightgbm_balanced_depth2,expanded154,high_missing_removed,lightgbm_balanced,lightgbm_balanced_depth2,"{""max_depth"": 2, ""num_leaves"": 4}"
expanded154__high_missing_removed__lightgbm_balanced_depth3,expanded154,high_missing_removed,lightgbm_balanced,lightgbm_balanced_depth3,"{""max_depth"": 3, ""num_leaves"": 8}"
expanded154__missing_indicator__logistic_balanced_C0.3,expanded154,missing_indicator,logistic_balanced,logistic_balanced_C0.3,"{""C"": 0.3}"
expanded154__missing_indicator__logistic_balanced_C1.0,expanded154,missing_indicator,logistic_balanced,logistic_balanced_C1.0,"{""C"": 1.0}"
expanded154__missing_indicator__logistic_balanced_C3.0,expanded154,missing_indicator,logistic_balanced,logistic_balanced_C3.0,"{""C"": 3.0}"
expanded154__missing_indicator__random_forest_balanced_depth2,expanded154,missing_indicator,random_forest_balanced,random_forest_balanced_depth2,"{""max_depth"": 2}"
expanded154__missing_indicator__random_forest_balanced_depth3,expanded154,missing_indicator,random_forest_balanced,random_forest_balanced_depth3,"{""max_depth"": 3}"
expanded154__missing_indicator__random_forest_balanced_depth4,expanded154,missing_indicator,random_forest_balanced,random_forest_balanced_depth4,"{""max_depth"": 4}"
expanded154__missing_indicator__extra_trees_balanced_depth2,expanded154,missing_indicator,extra_trees_balanced,extra_trees_balanced_depth2,"{""max_depth"": 2}"
expanded154__missing_indicator__extra_trees_balanced_depth3,expanded154,missing_indicator,extra_trees_balanced,extra_trees_balanced_depth3,"{""max_depth"": 3}"
expanded154__missing_indicator__extra_trees_balanced_depth4,expanded154,missing_indicator,extra_trees_balanced,extra_trees_balanced_depth4,"{""max_depth"": 4}"
expanded154__missing_indicator__lightgbm_balanced_depth1,expanded154,missing_indicator,lightgbm_balanced,lightgbm_balanced_depth1,"{""max_depth"": 1, ""num_leaves"": 2}"
expanded154__missing_indicator__lightgbm_balanced_depth2,expanded154,missing_indicator,lightgbm_balanced,lightgbm_balanced_depth2,"{""max_depth"": 2, ""num_leaves"": 4}"
expanded154__missing_indicator__lightgbm_balanced_depth3,expanded154,missing_indicator,lightgbm_balanced,lightgbm_balanced_depth3,"{""max_depth"": 3, ""num_leaves"": 8}"
